TERMINAL_ID,MERCHANT_ID,ACCOUNT_NUMBER,DEST_ACCOUNT_NUMBER,TIMESTAMP_DB,AMOUNT,STAN,PROCESSING_CODE,RESPONSE_CODE,MTI
T1012,M2000,ACCT100000,DST999999,2026-01-14 01:50:00,310823,100089,400000,0,200
T1012,M2011,ACCT100000,DST300183,2026-01-14 01:51:00,397743,100669,10000,0,200
T1012,M2002,ACCT100000,DST999999,2026-01-14 01:52:00,254441,100090,400000,0,200
T1012,M2017,ACCT100000,DST300183,2026-01-14 04:03:00,281929,100971,10000,0,200
T1012,M2012,ACCT100000,DST300165,2026-01-14 05:59:00,265449,101637,400000,0,200
T1012,M2012,ACCT100000,DST300010,2026-01-14 07:36:00,267549,101879,10000,0,200
T1012,M2008,ACCT100000,DST300160,2026-01-14 08:19:00,262315,101943,10000,0,200
T1012,M2015,ACCT100000,DST300120,2026-01-14 11:27:00,256907,102669,10000,0,200
T1012,M2013,ACCT100000,DST300152,2026-01-14 12:40:00,243816,102969,400000,0,200
T1012,M2016,ACCT100000,DST300007,2026-01-14 14:57:00,262862,103179,10000,0,200
T1012,M2008,ACCT100000,DST300055,2026-01-14 18:30:00,277299,103473,10000,0,200
T1012,M2010,ACCT100000,DST300111,2026-01-14 21:47:00,284790,103601,10000,0,200
T1012,M2001,ACCT100000,DST300122,2026-01-15 00:43:00,238219,103713,400000,0,200
T1012,M2017,ACCT100000,DST300025,2026-01-15 03:10:00,280894,104501,10000,0,200
T1012,M2010,ACCT100000,DST300184,2026-01-15 03:14:00,278517,104727,10000,0,200
T1004,M2008,ACCT100001,DST300175,2026-01-20 23:46:00,1421401,100360,10000,0,200
T1004,M2003,ACCT100001,DST300078,2026-01-21 02:13:00,276799,100413,10000,0,200
T1004,M2019,ACCT100001,DST300014,2026-01-21 02:39:00,296534,102562,10000,0,200
T1004,M2007,ACCT100001,DST300043,2026-01-21 04:19:00,308449,102648,400000,0,200
T1004,M2010,ACCT100001,DST300155,2026-01-21 04:50:00,268115,100492,10000,0,200
T1004,M2018,ACCT100001,DST300171,2026-01-21 08:49:00,315059,100990,10000,0,200
T1004,M2002,ACCT100001,DST300019,2026-01-21 12:03:00,267334,101337,10000,0,200
T1004,M2013,ACCT100001,DST300164,2026-01-21 16:03:00,288605,102522,10000,0,200
T1004,M2018,ACCT100001,DST300063,2026-01-21 19:50:00,309591,102559,400000,0,200
T1010,M2018,ACCT100002,DST300172,2026-01-20 18:18:00,323828,100133,10000,68,200
T1010,M2014,ACCT100002,DST300048,2026-01-20 22:08:00,351049,101050,10000,0,200
T1010,M2016,ACCT100002,DST300119,2026-01-20 22:14:00,329753,101575,400000,0,200
T1010,M2008,ACCT100002,DST300041,2026-01-20 22:50:00,301998,101600,400000,0,200
T1010,M2014,ACCT100002,DST300005,2026-01-21 01:36:00,314816,101936,400000,0,200
T1010,M2012,ACCT100002,DST300026,2026-01-21 03:14:00,352798,102328,10000,0,200
T1010,M2008,ACCT100002,DST300158,2026-01-21 06:55:00,356080,102528,10000,0,200
T1010,M2011,ACCT100002,DST300155,2026-01-21 10:29:00,333981,102769,400000,0,200
T1010,M2006,ACCT100002,DST300156,2026-01-21 12:03:00,344802,102933,10000,0,200
T1010,M2001,ACCT100002,DST300149,2026-01-21 13:48:00,301804,103460,400000,0,200
T1010,M2011,ACCT100002,DST300161,2026-01-21 15:23:00,343987,103659,400000,0,200
T1010,M2015,ACCT100002,DST300145,2026-01-21 15:25:00,323012,103941,10000,68,200
T1010,M2017,ACCT100002,DST300170,2026-01-21 18:18:00,331821,104721,400000,0,200
T1010,M2013,ACCT100002,DST300136,2026-01-21 21:50:00,328863,104784,10000,0,200
T1010,M2008,ACCT100002,DST300158,2026-01-21 22:38:00,335285,104950,10000,0,200
T1006,M2012,ACCT100003,DST300074,2026-01-01 02:02:00,93521,104823,10000,0,200
T1006,M2006,ACCT100003,DST300045,2026-01-01 02:46:00,88880,103076,10000,0,200
T1006,M2017,ACCT100003,DST300078,2026-01-01 04:30:00,76328,103612,10000,68,200
T1006,M2015,ACCT100003,DST300082,2026-01-01 07:34:00,89657,104076,400000,0,200
T1006,M2012,ACCT100003,DST300167,2026-01-01 09:35:00,136200,104178,400000,0,200
T1006,M2002,ACCT100003,DST300058,2026-01-01 09:44:00,87311,104265,10000,0,200
T1006,M2001,ACCT100003,DST300116,2026-01-01 09:46:00,127684,104303,10000,0,200
T1006,M2006,ACCT100003,DST300146,2026-01-01 11:50:00,117698,100044,300000,55,200
T1006,M2013,ACCT100003,DST300108,2026-01-01 11:51:00,117441,100045,300000,55,200
T1006,M2003,ACCT100003,DST300051,2026-01-01 11:52:00,126009,100046,300000,55,200
T1006,M2009,ACCT100003,DST300131,2026-01-01 11:53:00,90536,100047,300000,55,200
T1006,M2014,ACCT100003,DST300058,2026-01-01 13:05:00,99512,104384,400000,0,200
T1006,M2016,ACCT100003,DST300062,2026-01-01 14:21:00,116075,101212,400000,0,200
T1006,M2006,ACCT100003,DST300103,2026-01-01 14:41:00,84119,101241,400000,0,200
T1006,M2016,ACCT100003,DST300110,2026-01-01 15:38:00,99181,102020,400000,0,200
T1006,M2009,ACCT100003,DST300172,2026-01-01 18:18:00,107686,102619,10000,0,200
T1006,M2008,ACCT100003,DST300099,2026-01-01 21:53:00,122906,102800,10000,0,200
T1017,M2016,ACCT100004,DST300035,2026-01-08 19:30:00,211974,100417,400000,0,200
T1017,M2004,ACCT100004,DST300168,2026-01-08 22:05:00,202500,100846,10000,0,200
T1017,M2013,ACCT100004,DST300121,2026-01-08 23:43:00,211304,101242,10000,0,200
T1017,M2006,ACCT100004,DST300151,2026-01-09 01:50:00,230923,104432,400000,0,200
T1017,M2011,ACCT100004,DST300184,2026-01-09 03:42:00,243470,101359,400000,0,200
T1017,M2017,ACCT100004,DST300051,2026-01-09 05:25:00,258241,104440,10000,0,200
T1017,M2007,ACCT100004,DST300051,2026-01-09 06:10:00,200147,101398,10000,68,200
T1017,M2019,ACCT100004,DST999999,2026-01-09 06:12:00,242498,101806,400000,0,200
T1017,M2019,ACCT100004,DST999999,2026-01-09 06:14:00,202996,101807,400000,0,200
T1017,M2000,ACCT100004,DST300155,2026-01-09 09:34:00,220057,102343,10000,0,200
T1017,M2008,ACCT100004,DST300068,2026-01-09 09:35:00,196561,102701,400000,0,200
T1017,M2007,ACCT100004,DST300136,2026-01-09 11:02:00,222052,102988,400000,0,200
T1017,M2002,ACCT100004,DST300093,2026-01-09 13:41:00,234735,103370,400000,0,200
T1017,M2008,ACCT100004,DST300199,2026-01-09 16:18:00,228375,104110,10000,68,200
T1017,M2018,ACCT100004,DST300133,2026-01-09 16:52:00,218095,104211,400000,0,200
T1024,M2008,ACCT100005,DST300038,2026-01-04 02:04:00,247837,104608,10000,0,200
T1024,M2013,ACCT100005,DST300149,2026-01-04 03:15:00,237042,102690,400000,0,200
T1024,M2011,ACCT100005,DST300113,2026-01-04 04:29:00,329210,102749,10000,0,200
T1024,M2008,ACCT100005,DST300094,2026-01-04 08:26:00,227957,103045,400000,0,200
