TERMINAL_ID,MERCHANT_ID,ACCOUNT_NUMBER,DEST_ACCOUNT_NUMBER,TIMESTAMP_DB,AMOUNT,STAN,PROCESSING_CODE,RESPONSE_CODE,MTI,IS_FRAUD
T1017,M2008,ACCT100000,DST300173,2026-01-20 03:35:00,180744,100495,010000,68,0200,0
T1017,M2018,ACCT100000,DST300061,2026-01-20 03:40:00,205415,101829,010000,00,0200,0
T1017,M2009,ACCT100000,DST300017,2026-01-20 03:41:00,217595,102029,010000,00,0200,0
T1017,M2002,ACCT100000,DST300021,2026-01-20 04:48:00,209489,102152,400000,00,0200,0
T1017,M2004,ACCT100000,DST300178,2026-01-20 05:07:00,213670,100649,400000,00,0200,0
T1017,M2006,ACCT100000,DST300014,2026-01-20 05:16:00,208332,102884,010000,00,0200,0
T1017,M2004,ACCT100000,DST300004,2026-01-20 07:50:00,241792,101231,400000,68,0200,0
T1017,M2000,ACCT100000,DST300173,2026-01-20 08:42:00,182086,102953,400000,00,0200,0
T1017,M2012,ACCT100000,DST300047,2026-01-20 09:41:00,204717,100352,400000,00,0200,0
T1017,M2010,ACCT100000,DST300023,2026-01-20 10:21:00,260096,103061,400000,00,0200,0
T1017,M2010,ACCT100000,DST300090,2026-01-20 10:39:00,208893,101245,400000,00,0200,0
T1017,M2014,ACCT100000,DST300022,2026-01-20 13:13:00,231373,103380,400000,00,0200,0
T1017,M2001,ACCT100000,DST300067,2026-01-20 13:54:00,188705,101323,010000,00,0200,0
T1017,M2011,ACCT100000,DST300146,2026-01-20 16:01:00,219682,103516,010000,00,0200,0
T1017,M2001,ACCT100000,DST300158,2026-01-20 16:14:00,219211,101737,010000,00,0200,0
T1017,M2007,ACCT100000,DST300148,2026-01-20 18:50:00,198347,103657,400000,51,0200,0
T1017,M2007,ACCT100000,DST300189,2026-01-20 20:57:00,168239,104259,010000,00,0200,0
T1017,M2006,ACCT100000,DST300069,2026-01-20 21:35:00,218326,104908,400000,00,0200,0
T1017,M2016,ACCT100000,DST300022,2026-01-20 22:06:00,185640,104994,010000,00,0200,0
T1000,M2017,ACCT100001,DST300105,2026-01-19 09:22:00,220726,100094,010000,00,0200,0
T1000,M2006,ACCT100001,DST300100,2026-01-19 11:13:00,240004,100185,400000,00,0200,0
T1000,M2011,ACCT100001,DST300102,2026-01-19 12:07:00,238264,100320,400000,00,0200,0
T1000,M2016,ACCT100001,DST300194,2026-01-19 14:57:00,231818,100445,010000,00,0200,0
T1000,M2003,ACCT100001,DST300098,2026-01-19 16:51:00,228476,100537,400000,00,0200,0
T1000,M2003,ACCT100001,DST300008,2026-01-19 20:24:00,221598,100563,010000,00,0200,0
T1000,M2007,ACCT100001,DST300165,2026-01-19 22:20:00,233921,101009,400000,00,0200,0
T1000,M2000,ACCT100001,DST300026,2026-01-19 23:33:00,185011,101083,400000,00,0200,0
T1000,M2012,ACCT100001,DST300179,2026-01-20 00:01:00,183848,101748,010000,00,0200,0
T1000,M2004,ACCT100001,DST300054,2026-01-20 02:30:00,222448,102306,400000,00,0200,0
T1000,M2004,ACCT100001,DST300130,2026-01-20 04:01:00,190166,102479,010000,00,0200,0
T1000,M2007,ACCT100001,DST300100,2026-01-20 05:45:00,200179,102506,400000,00,0200,0
T1000,M2019,ACCT100001,DST300042,2026-01-20 08:26:00,218601,102704,400000,51,0200,0
T1000,M2001,ACCT100001,DST300028,2026-01-20 11:35:00,202000,102913,010000,00,0200,0
T1000,M2010,ACCT100001,DST300080,2026-01-20 15:18:00,202489,102974,010000,00,0200,0
T1000,M2012,ACCT100001,DST300002,2026-01-20 18:56:00,215681,103627,400000,00,0200,0
T1000,M2009,ACCT100001,DST300195,2026-01-20 21:07:00,189304,104040,010000,00,0200,0
T1000,M2000,ACCT100001,DST300182,2026-01-20 23:22:00,209245,104509,400000,00,0200,0
T1000,M2000,ACCT100001,DST300099,2026-01-21 03:09:00,202763,104818,400000,00,0200,0
T1024,M2007,ACCT100002,DST300041,2026-01-10 01:08:00,94454,103902,400000,00,0200,0
T1024,M2015,ACCT100002,DST300190,2026-01-10 02:53:00,192743,100822,010000,00,0200,1
T1024,M2003,ACCT100002,DST300184,2026-01-10 04:07:00,89478,104468,010000,00,0200,0
T1024,M2010,ACCT100002,DST300120,2026-01-10 05:28:00,97107,100119,010000,00,0200,0
T1024,M2005,ACCT100002,DST300172,2026-01-10 06:07:00,90442,101089,400000,00,0200,0
T1024,M2007,ACCT100002,DST300144,2026-01-10 06:11:00,85265,100266,010000,00,0200,0
T1024,M2011,ACCT100002,DST300039,2026-01-10 07:43:00,103244,104761,010000,00,0200,0
T1024,M2018,ACCT100002,DST300000,2026-01-10 09:30:00,61144,100665,010000,00,0200,0
T1024,M2012,ACCT100002,DST300032,2026-01-10 09:59:00,118754,101289,010000,00,0200,0
T1024,M2000,ACCT100002,DST300037,2026-01-10 10:19:00,108427,101674,010000,51,0200,0
T1024,M2014,ACCT100002,DST300029,2026-01-10 11:19:00,95607,102562,400000,00,0200,0
T1024,M2015,ACCT100002,DST300090,2026-01-10 12:37:00,117459,102802,010000,00,0200,0
T1024,M2008,ACCT100002,DST300188,2026-01-10 15:41:00,80253,102903,400000,00,0200,0
T1024,M2004,ACCT100002,DST300023,2026-01-10 16:13:00,134449,103787,010000,00,0200,0
T1018,M2010,ACCT100003,DST300175,2026-01-04 03:10:00,131607,100595,010000,00,0200,0
T1018,M2014,ACCT100003,DST300151,2026-01-04 03:58:00,129387,101367,010000,00,0200,0
T1018,M2000,ACCT100003,DST300107,2026-01-04 05:16:00,140202,101777,010000,00,0200,0
T1018,M2007,ACCT100003,DST999999,2026-01-04 05:18:00,66558,101788,400000,00,0200,1
T1018,M2013,ACCT100003,DST999999,2026-01-04 05:20:00,71062,101789,400000,00,0200,1
T1018,M2007,ACCT100003,DST999999,2026-01-04 05:22:00,74173,101790,400000,00,0200,1
T1018,M2006,ACCT100003,DST300187,2026-01-04 06:59:00,99526,101962,010000,00,0200,0
T1018,M2017,ACCT100003,DST300175,2026-01-04 07:05:00,72445,100618,400000,00,0200,0
T1018,M2015,ACCT100003,DST300037,2026-01-04 08:34:00,75317,103679,010000,00,0200,0
T1018,M2008,ACCT100003,DST300140,2026-01-04 08:44:00,90840,104046,400000,00,0200,0
T1018,M2010,ACCT100003,DST300076,2026-01-04 08:55:00,91398,104918,400000,00,0200,0
T1018,M2003,ACCT100003,DST300028,2026-01-04 09:18:00,90938,100736,400000,00,0200,0
T1018,M2006,ACCT100003,DST300051,2026-01-04 09:46:00,100187,101291,400000,00,0200,0
T1006,M2006,ACCT100004,DST300156,2026-01-12 03:39:00,561296,100120,010000,00,0200,1
T1006,M2003,ACCT100004,DST300174,2026-01-12 05:54:00,325672,100219,400000,00,0200,0
T1006,M2018,ACCT100004,DST300035,2026-01-12 09:51:00,276182,100918,010000,00,0200,0
T1006,M2006,ACCT100004,DST300025,2026-01-12 11:15:00,309193,101309,010000,00,0200,0
T1006,M2002,ACCT100004,DST300068,2026-01-12 14:23:00,303699,101769,010000,00,0200,0
T1006,M2000,ACCT100004,DST300140,2026-01-12 17:46:00,298795,102348,400000,00,0200,0
T1006,M2013,ACCT100004,DST300175,2026-01-12 21:45:00,345210,102539,010000,00,0200,0
T1006,M2019,ACCT100004,DST300007,2026-01-12 22:12:00,319162,102576,400000,00,0200,0
T1006,M2019,ACCT100004,DST300042,2026-01-12 23:16:00,276371,102750,400000,00,0200,0
T1006,M2006,ACCT100004,DST300192,2026-01-13 00:50:00,331487,102831,400000,00,0200,0
T1006,M2001,ACCT100004,DST300107,2026-01-13 01:47:00,313689,103649,010000,00,0200,0
